Hash,author,KC-Tags,MF-Tags,AM-Tags
64bc6412188b141c010ac3b8e813b837dd991e80,Erik Andersen,no-tag-changed,['addAsset'],['addAsset']
e9efa23ae121c8976e5dc2bbcf29e029b5087e76,Erik Andersen,no-tag-changed,[('Added' | 'build') | ('Modify' | 'build')],['changeAsset' | ('Added' | 'ifdef')]
c3a27f5095a50bef9e56f19eeed1176319e189e2,Erik Andersen,no-tag-changed,[('Modify' | 'build') | ('Remove' | 'build')],[('Modify' | 'ifdef') | 'changeAsset']
557676bdf528741f188f6af0e7bb5f25e29e7d3e,Erik Andersen,no-tag-changed,no-tag-changed,['changeAsset']
d2d67c9856355f732c83f060e0c69b2e520db65e,Erik Andersen,no-tag-changed,[('Modify' | 'build') | ('Added' | 'build')],['changeAsset']
9b7a1c1c4b4cbb1257b19caa92ccd9b765b1f01b,Erik Andersen,no-tag-changed,no-tag-changed,['changeAsset']
70216fffd789448979f4d63ac0b49b2fa588530f,Erik Andersen,no-tag-changed,['addAsset'],no-tag-changed
e029f68bffea72f64ca87d87dcd488269fb25240,Erik Andersen,no-tag-changed,no-tag-changed,['addAsset']
34074d24da57f821430c6f9d1b2cb58e06794ed1,Erik Andersen,no-tag-changed,[('Added' | 'build') | ('Modify' | 'build')],no-tag-changed
7b9cd2baf91a1f7f0cd364758102cec4e0f9c2c1,Erik Andersen,no-tag-changed,[('Added' | 'build') | ('Modify' | 'build')],no-tag-changed
fbd5e30d8783e0a7ebabdc1b0110c285504c0bbe,Erik Andersen,no-tag-changed,no-tag-changed,['addAsset']
bc5ac6bc3d6454b1a3191f3dd7e5e9218b591efd,Ron Alder,no-tag-changed,no-tag-changed,['changeAsset']
1ff29edccbb42f603859abb6eda22265df896a4f,Ron Alder,no-tag-changed,no-tag-changed,[('Added' | 'ifdef') | 'changeAsset']
38b20649403f2cbffc4581211f1b61868e3b358f,Eric Andersen,no-tag-changed,no-tag-changed,['changeAsset']
7186f9a670f0342266e6ce601fdbb404647d8988,Eric Andersen,no-tag-changed,[('Remove' | 'build') | ('Modify' | 'build')],['changeAsset']
775622914fa0a2814c705d25b1a3929002c5c785,Eric Andersen,no-tag-changed,[('Modify' | 'build')],no-tag-changed
9281d180d13057917f618c35ef7433d2e4d4dd86,Eric Andersen,no-tag-changed,['addAsset'],['addAsset']
ca9bd30c262ed788486c1d367ad40550e5d806c2,Eric Andersen,no-tag-changed,[('Remove' | 'build') | ('Modify' | 'build') | ('Added' | 'build')],['addAsset' | 'changeAsset']
42ee079162ef0aacb93181dcc0df86c9d33f75c5,Eric Andersen,no-tag-changed,[('Added' | 'build')],['changeAsset']
a67c6273255c0357bf1e14ea35005b47c9a94e6c,Eric Andersen,no-tag-changed,[('Modify' | 'build')],['changeAsset' | ('Remove' | 'ifdef')]
6811c064139574e2e2e07fdeb10218428cd68b36,Eric Andersen,no-tag-changed,no-tag-changed,['changeAsset' | ('Remove' | 'ifdef') | 'addAsset']
afb85e9d6ca1de8f1ecb267e8c30b88ba4382820,Eric Andersen,no-tag-changed,[('Modify' | 'build')],['changeAsset']
ffb96c090015f49059d146deefbbd7e1f6baa642,Eric Andersen,no-tag-changed,no-tag-changed,[('Added' | 'ifdef') | 'changeAsset' | 'addAsset' | ('Remove' | 'ifdef')]
bf299c2d305f9310d908dcc3cf2073eeb882be01,Eric Andersen,no-tag-changed,[('Modify' | 'build')],['changeAsset']
8be74df1ae54f6b348f63602a272dd2b58ef88a6,Eric Andersen,no-tag-changed,no-tag-changed,['changeAsset' | ('Remove' | 'ifdef') | 'addAsset']
0b0aad62ccc0e1f5688dd790be5777b55f33c2b1,Eric Andersen,no-tag-changed,no-tag-changed,['addAsset']
42fb99c79e95e7b6c557f3e30b77916411f71084,Eric Andersen,no-tag-changed,no-tag-changed,['removeAsset']
7513fde29d278751593c6d3130d25c3c773acccb,Eric Andersen,no-tag-changed,no-tag-changed,['addAsset']
986ea00a8cbe68e3670ff885c969e201e47b0a95,Randolph Chung,no-tag-changed,[('Added' | 'build') | ('Modify' | 'build')],['changeAsset']
31819c989bd068d688f2335032c517529087383e,Eric Andersen,no-tag-changed,no-tag-changed,['addAsset']
f8fcb08913209770f0c5e2fe7c7ee1897369d2c9,Eric Andersen,no-tag-changed,no-tag-changed,[('Modify' | 'ifdef') | 'changeAsset']
42010194d04d05f1dea6a30579941ed2ee0273f4,Randolph Chung,no-tag-changed,no-tag-changed,['changeAsset']
c0b41a5aea6d4533277523ba63e0f996c64e44d8,Eric Andersen,no-tag-changed,no-tag-changed,[('Remove' | 'ifdef') | 'changeAsset']
283f7172a1d7f3e42a38747f7a9b83bfc04c5238,Eric Andersen,no-tag-changed,no-tag-changed,['addAsset' | 'changeAsset']
f3a9360625bca4fb0b5fe9730d6e25431ac4704b,Eric Andersen,no-tag-changed,[('Modify' | 'build') | 'addAsset'],['addAsset' | 'changeAsset' | ('Remove' | 'ifdef') | ('Added' | 'ifdef')]
f70b581e6b902d11abdf2b9645f1cb8a3f495591,Eric Andersen,no-tag-changed,[('Added' | 'build')],no-tag-changed
