Hash,author,KC-Tags,MF-Tags,AM-Tags
f576eb65df41eb767b652d8e9319039239c73dda,cameronrich,['addAsset'],['addAsset'],['addAsset']
9b464e6a03877cf0e8520f4db976e550d1092356,cameronrich,no-tag-changed,no-tag-changed,['changeAsset']
52176661c04be23571f3b0a848af1731a8120704,cameronrich,no-tag-changed,[('Modify' | 'build')],['removeAsset' | 'changeAsset' | 'addAsset']
46e0aa9dc61d10791391e18fdd29ef2b21d31ac2,cameronrich,no-tag-changed,no-tag-changed,['changeAsset']
17f44991a80fe5047c97cb55f17307b526059b78,cameronrich,no-tag-changed,no-tag-changed,['changeAsset']
486974f56d03822857a9411d1c99edafccd4ea7d,cameronrich,no-tag-changed,no-tag-changed,[('Remove' | 'ifdef') | 'changeAsset']
4ddad6b32dadfdcbcafcd9c498a6c5749060bda2,cameronrich,no-tag-changed,[('Remove' | 'build')],['changeAsset' | 'removeAsset']
d38f52874a6c27bbbf4e17dc6153870076175195,cameronrich,no-tag-changed,no-tag-changed,['changeAsset']
26dad5f75f6a28e1689b0abe66f6596de2a1c815,cameronrich,no-tag-changed,no-tag-changed,['changeAsset']
836905f7e21fb9b8ea1741edf8533d0ec81952f3,cameronrich,no-tag-changed,no-tag-changed,['changeAsset']
1d95f482f0b142d7ca792ac53638fab83c714885,cameronrich,no-tag-changed,no-tag-changed,['changeAsset']
7dcc4f95257352364869c0038eabcd959f94d648,cameronrich,no-tag-changed,no-tag-changed,['changeAsset']
a95bad18eb42b451029f4fa20f941caa0f8673ca,cameronrich,no-tag-changed,no-tag-changed,['changeAsset']
40b358634ff2b80dc04f507809713484f2608a2b,cameronrich,no-tag-changed,[('Added' | 'ifdef') | ('Added' | 'build') | ('Modify' | 'build')],['changeAsset' | 'addAsset' | ('Added' | 'ifdef')]
7cf3a105a3b8a73268bed1ad595250535d49a60e,cameronrich,no-tag-changed,no-tag-changed,['removeAsset' | 'addAsset']
91dcd404eb5991faf9979a73472c7358db1d8e4d,cameronrich,no-tag-changed,[('Added' | 'ifdef') | ('Added' | 'build') | 'addAsset'],['changeAsset' | ('Added' | 'ifdef')]
2c2b34b732b12f6ca1d397722f922bfd6e28623b,cameronrich,no-tag-changed,no-tag-changed,['changeAsset']
4d2996b80017a51f598fada5d740cd72ff61402d,cameronrich,no-tag-changed,[('Added' | 'ifdef') | ('Added' | 'build') | 'addAsset'],['addAsset' | 'changeAsset']
